name;movie_count;link
Nicolas Cage;5;/actor/nicolas-cage/
Bruce Campbell;4;/actor/bruce-campbell/
Ian McKellen;4;/actor/ian-mckellen/
Sean Astin;4;/actor/sean-astin/
Sean Bean;4;/actor/sean-bean/
Hugo Weaving;3;/actor/hugo-weaving/
Billy Jackson;3;/actor/billy-jackson-1/
Jeff Goldblum;3;/actor/jeff-goldblum/
Frances McDormand;3;/actor/frances-mcdormand/
Craig Parker;3;/actor/craig-parker/
Jørn Benzon;3;/actor/jorn-benzon-1/
Julie Walters;3;/actor/julie-walters/
Jim Broadbent;3;/actor/jim-broadbent/
Billy Boyd;3;/actor/billy-boyd/
Brendan Gleeson;3;/actor/brendan-gleeson/
Imelda Staunton;3;/actor/imelda-staunton/
Dominic Monaghan;3;/actor/dominic-monaghan/
Josh Brolin;3;/actor/josh-brolin/
Jarl Benzon;3;/actor/jarl-benzon-1/
Frank Gorshin;3;/actor/frank-gorshin/
Jed Brophy;3;/actor/jed-brophy/
Jeff Imada;3;/actor/jeff-imada/
Andy Serkis;3;/actor/andy-serkis/
Burnell Tucker;3;/actor/burnell-tucker/
Katie Jackson;3;/actor/katie-jackson-2/
Hugh Bonneville;3;/actor/hugh-bonneville/
Elijah Wood;3;/actor/elijah-wood/
Keith David;3;/actor/keith-david/
Lee Hartley;3;/actor/lee-hartley-1/
Liv Tyler;3;/actor/liv-tyler/
Madeleine Harris;3;/actor/madeleine-harris/
Mia Goth;3;/actor/mia-goth/
Nicholas Hoult;3;/actor/nicholas-hoult/
Cate Blanchett;3;/actor/cate-blanchett/
Orlando Bloom;3;/actor/orlando-bloom/
Ben Whishaw;3;/actor/ben-whishaw/
Peter Kent;3;/actor/peter-kent/
Sala Baker;3;/actor/sala-baker/
Sam Kelly;3;/actor/sam-kelly/
Samuel Joslin;3;/actor/samuel-joslin/
Peter Jackson;3;/actor/peter-jackson/
John Rhys-Davies;3;/actor/john-rhys-davies/
Simon Farnaby;3;/actor/simon-farnaby/
Stephen Ure;3;/actor/stephen-ure-1/
Tim Wong;3;/actor/tim-wong-1/
Viggo Mortensen;3;/actor/viggo-mortensen/
