name;film_title
Viggo Mortensen;The Lord of the Rings: The Fellowship of the Ring
Viggo Mortensen;The Lord of the Rings: The Return of the King
Viggo Mortensen;The Lord of the Rings: The Two Towers
Tim Wong;The Lord of the Rings: The Fellowship of the Ring
Tim Wong;The Lord of the Rings: The Two Towers
Tim Wong;The Meg
Stephen Ure;The Lord of the Rings: The Return of the King
Stephen Ure;The Lord of the Rings: The Two Towers
Stephen Ure;X
Simon Farnaby;Paddington
Simon Farnaby;Paddington 2
Simon Farnaby;Paddington in Peru
Sean Bean;The Lord of the Rings: The Fellowship of the Ring
Sean Bean;The Lord of the Rings: The Return of the King
Sean Bean;The Lord of the Rings: The Two Towers
Sean Bean;Wolfwalkers
Sean Astin;The Goonies
Sean Astin;The Lord of the Rings: The Fellowship of the Ring
Sean Astin;The Lord of the Rings: The Return of the King
Sean Astin;The Lord of the Rings: The Two Towers
Samuel Joslin;Paddington
Samuel Joslin;Paddington 2
Samuel Joslin;Paddington in Peru
Sam Kelly;The Lord of the Rings: The Fellowship of the Ring
Sam Kelly;The Lord of the Rings: The Return of the King
Sam Kelly;The Lord of the Rings: The Two Towers
Sala Baker;The Lord of the Rings: The Fellowship of the Ring
Sala Baker;The Lord of the Rings: The Return of the King
Sala Baker;The Lord of the Rings: The Two Towers
Peter Kent;Re-Animator
Peter Kent;The Running Man
Peter Kent;Total Recall
Peter Jackson;The Lord of the Rings: The Fellowship of the Ring
Peter Jackson;The Lord of the Rings: The Return of the King
Peter Jackson;The Lord of the Rings: The Two Towers
Orlando Bloom;The Lord of the Rings: The Fellowship of the Ring
Orlando Bloom;The Lord of the Rings: The Return of the King
Orlando Bloom;The Lord of the Rings: The Two Towers
Nicolas Cage;Dream Scenario
Nicolas Cage;Pig
Nicolas Cage;Raising Arizona
Nicolas Cage;Renfield
Nicolas Cage;The Unbearable Weight of Massive Talent
Nicholas Hoult;Nosferatu
Nicholas Hoult;Renfield
Nicholas Hoult;Superman
Mia Goth;MaXXXine
Mia Goth;Pearl
Mia Goth;X
Madeleine Harris;Paddington
Madeleine Harris;Paddington 2
Madeleine Harris;Paddington in Peru
Liv Tyler;The Lord of the Rings: The Fellowship of the Ring
Liv Tyler;The Lord of the Rings: The Return of the King
Liv Tyler;The Lord of the Rings: The Two Towers
Lee Hartley;The Lord of the Rings: The Fellowship of the Ring
Lee Hartley;The Lord of the Rings: The Return of the King
Lee Hartley;The Lord of the Rings: The Two Towers
Keith David;Pitch Black
Keith David;Requiem for a Dream
Keith David;They Live
Katie Jackson;The Lord of the Rings: The Fellowship of the Ring
Katie Jackson;The Lord of the Rings: The Return of the King
Katie Jackson;The Lord of the Rings: The Two Towers
Jørn Benzon;The Lord of the Rings: The Fellowship of the Ring
Jørn Benzon;The Lord of the Rings: The Return of the King
Jørn Benzon;The Lord of the Rings: The Two Towers
Julie Walters;Paddington
Julie Walters;Paddington 2
Julie Walters;Paddington in Peru
Josh Brolin;Dune
Josh Brolin;Dune: Part Two
Josh Brolin;The Goonies
John Rhys-Davies;The Lord of the Rings: The Fellowship of the Ring
John Rhys-Davies;The Lord of the Rings: The Return of the King
John Rhys-Davies;The Lord of the Rings: The Two Towers
Jim Broadbent;Paddington
Jim Broadbent;Paddington 2
Jim Broadbent;Paddington in Peru
Jeff Imada;Blade
Jeff Imada;Point Break
Jeff Imada;They Live
Jeff Goldblum;Invasion of the Body Snatchers
Jeff Goldblum;Isle of Dogs
Jeff Goldblum;The Fly
Jed Brophy;The Lord of the Rings: The Fellowship of the Ring
Jed Brophy;The Lord of the Rings: The Return of the King
Jed Brophy;The Lord of the Rings: The Two Towers
Jarl Benzon;The Lord of the Rings: The Fellowship of the Ring
Jarl Benzon;The Lord of the Rings: The Return of the King
Jarl Benzon;The Lord of the Rings: The Two Towers
Imelda Staunton;Paddington
Imelda Staunton;Paddington 2
Imelda Staunton;Paddington in Peru
Ian McKellen;Cats
Ian McKellen;The Lord of the Rings: The Fellowship of the Ring
Ian McKellen;The Lord of the Rings: The Return of the King
Ian McKellen;The Lord of the Rings: The Two Towers
Hugo Weaving;The Lord of the Rings: The Fellowship of the Ring
Hugo Weaving;The Lord of the Rings: The Return of the King
Hugo Weaving;The Lord of the Rings: The Two Towers
Hugh Bonneville;Paddington
Hugh Bonneville;Paddington 2
Hugh Bonneville;Paddington in Peru
Frank Gorshin;Batman
Frank Gorshin;Bloodmoon
Frank Gorshin;Twelve Monkeys
Frances McDormand;Fargo
Frances McDormand;Isle of Dogs
Frances McDormand;Raising Arizona
Elijah Wood;The Lord of the Rings: The Fellowship of the Ring
Elijah Wood;The Lord of the Rings: The Return of the King
Elijah Wood;The Lord of the Rings: The Two Towers
Dominic Monaghan;The Lord of the Rings: The Fellowship of the Ring
Dominic Monaghan;The Lord of the Rings: The Return of the King
Dominic Monaghan;The Lord of the Rings: The Two Towers
Craig Parker;The Lord of the Rings: The Fellowship of the Ring
Craig Parker;The Lord of the Rings: The Return of the King
Craig Parker;The Lord of the Rings: The Two Towers
Cate Blanchett;The Lord of the Rings: The Fellowship of the Ring
Cate Blanchett;The Lord of the Rings: The Return of the King
Cate Blanchett;The Lord of the Rings: The Two Towers
Burnell Tucker;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Burnell Tucker;Flash Gordon
Burnell Tucker;Rollerball
Bruce Campbell;Army of Darkness
Bruce Campbell;Bubba Ho-tep
Bruce Campbell;Evil Dead II
Bruce Campbell;Fargo
Brendan Gleeson;28 Days Later
Brendan Gleeson;Paddington 2
Brendan Gleeson;The Banshees of Inisherin
Billy Jackson;The Lord of the Rings: The Fellowship of the Ring
Billy Jackson;The Lord of the Rings: The Return of the King
Billy Jackson;The Lord of the Rings: The Two Towers
Billy Boyd;The Lord of the Rings: The Fellowship of the Ring
Billy Boyd;The Lord of the Rings: The Return of the King
Billy Boyd;The Lord of the Rings: The Two Towers
