theme;movie_count
Epic heroes;35
Horror, the undead and monster classics;35
Crude humor and satire;34
Terrifying, haunted, and supernatural horror;25
Superheroes in action-packed battles with villains;24
Intense violence and sexual transgression;24
Humanity and the world around us;23
Gory, gruesome, and slasher horror;20
Gags, jokes, and slapstick humor;19
Creepy, chilling, and terrifying horror;18
Action comedy and silly heroics;17
Twisted dark psychological thriller;17
Fantasy adventure, heroism, and swordplay;16
Gothic and eerie haunting horror;16
Funny jokes and crude humor;16
Monsters, aliens, sci-fi and the apocalypse;14
High speed and special ops;13
Moving relationship stories;13
Amusing jokes and witty satire;12
Heartfelt and sentimental family stories;12
Sci-fi horror, creatures, and aliens;12
Explosive and action-packed heroes vs. villains;12
Thought-provoking sci-fi action and future technology;12
Surreal and thought-provoking visions of life and death;12
Spooky, scary comedy;11
Violent action, guns, and crime;11
Emotional and captivating fantasy storytelling;11
Intense combat and martial arts;11
Dreamlike, quirky, and surreal storytelling;10
Laugh-out-loud relationship entanglements;10
Gritty crime and ruthless gangsters;9
Relationship comedy;9
Crime, drugs and gangsters;9
Chilling experiments and classic monster horror;8
Adorable animals and heartwarming families;8
Kids' animated fun and adventure;8
Quirky and endearing relationships;8
Powerful stories of heartbreak and suffering;8
Historical battles and epic heroism;8
Thrillers and murder mysteries;8
Adrenaline-fueled action and fast cars;8
Action-packed space and alien sagas;7
Bloody vampire horror;7
Epic adventure and breathtaking battles;7
Imaginative space odysseys and alien encounters;7
Underdogs and coming of age;7
Teen school antics and laughter;7
Suspenseful crime thrillers;6
Violent crime and drugs;6
Survival horror and zombie carnage;6
Song and dance;6
Heists and thrilling action;6
Holiday joy and heartwarming Christmas;6
Catchy songs and hilarious musical comedy;6
Brutal, violent prison drama;5
Challenging or sexual themes & twists;5
Captivating relationships and charming romance;5
Sci-fi monster and dinosaur adventures;5
Intriguing and suspenseful murder mysteries;5
Noir and dark crime dramas;5
Fairy-tale fantasy and enchanted magic;5
Heartbreaking and moving family drama;4
Graphic violence and brutal revenge;4
Dazzling vocal performances and musicals;4
Emotional and heartfelt family dramas;4
Epic history and literature;4
Dance rhythms and catchy tunes;4
Intense political and terrorist thrillers;4
Powerful poetic and passionate drama;4
Emotional teen coming-of-age stories;3
War;3
Wild west outlaws and gunfights;3
War and historical adventure;3
Passion and romance;3
Westerns;3
Captivating vision and Shakespearean drama;3
Bollywood emotional dramas;2
Teen friendship and coming-of-age;2
Tragic sadness and captivating beauty;2
Legendary musicians and stardom;2
Politics and human rights;2
Dangerous technology and the apocalypse;2
Extreme gory horror and cannibalism;2
Western frontier dramas with a touch of humor;2
Riveting political and presidential drama;2
Student coming-of-age challenges;2
Faith and religion;1
Bravery in War;1
Charming romances and delightful chemistry;1
Erotic relationships and desire;1
Emotional life of renowned artists;1
Faith and spiritual journeys;1
Military combat and heroic soldiers;1
Inspiring sports underdog stories;1
Lavish dramas and sumptuous royalty;1
Political drama, patriotism, and war;1
Religious faith, sin, and forgiveness;1
Racism and the powerful fight for justice;1
Underdog fighting and boxing stories;1
