name;film_title
Ti West;MaXXXine
Ti West;Pearl
Ti West;X
Satoshi Kon;Millennium Actress
Satoshi Kon;Tokyo Godfathers
Sam Raimi;Army of Darkness
Sam Raimi;Evil Dead II
Sadayuki Murai;Millennium Actress
Sadayuki Murai;Perfect Blue
Robert Eggers;Nosferatu
Robert Eggers;The Northman
Philippa Boyens;The Lord of the Rings: The Fellowship of the Ring
Philippa Boyens;The Lord of the Rings: The Return of the King
Philippa Boyens;The Lord of the Rings: The Two Towers
Peter Jackson;The Lord of the Rings: The Fellowship of the Ring
Peter Jackson;The Lord of the Rings: The Return of the King
Peter Jackson;The Lord of the Rings: The Two Towers
Paul King;Paddington
Paul King;Paddington 2
Lorenzo Semple Jr.;Batman
Lorenzo Semple Jr.;Flash Gordon
Jon Spaihts;Dune
Jon Spaihts;Dune: Part Two
John L. Balderston;Bride of Frankenstein
John L. Balderston;Gaslight
Joel Coen;Fargo
Joel Coen;Raising Arizona
Fran Walsh;The Lord of the Rings: The Fellowship of the Ring
Fran Walsh;The Lord of the Rings: The Return of the King
Fran Walsh;The Lord of the Rings: The Two Towers
Ethan Coen;Fargo
Ethan Coen;Raising Arizona
Denis Villeneuve;Dune
Denis Villeneuve;Dune: Part Two
David Webb Peoples;Twelve Monkeys
David Webb Peoples;Unforgiven
David Twohy;Pitch Black
David Twohy;The Fugitive
Daniel Scheinert;Everything Everywhere All at Once
Daniel Scheinert;Swiss Army Man
Daniel Kwan;Everything Everywhere All at Once
Daniel Kwan;Swiss Army Man
Andy Sidaris;Do or Die
Andy Sidaris;Hard Ticket to Hawaii
