name;role;link;film_id;film_title
Todd Holland;director;/director/todd-holland-1/;51869;The Wizard
David Chisholm;producer;/producer/david-chisholm/;51869;The Wizard
Ken Topolsky;producer;/producer/ken-topolsky/;51869;The Wizard
Daniel Schneider;producer;/producer/daniel-schneider/;51869;The Wizard
David Chisholm;writer;/writer/david-chisholm/;51869;The Wizard
Mali Finn;casting;/casting/mali-finn/;51869;The Wizard
Tom Finan;editor;/editor/tom-finan/;51869;The Wizard
Robert D. Yeoman;cinematography;/cinematography/robert-d-yeoman/;51869;The Wizard
Jerry Ketcham;assistant-director;/assistant-director/jerry-ketcham/;51869;The Wizard
David D'Ovidio;assistant-director;/assistant-director/david-dovidio/;51869;The Wizard
James M. Halty;additional-directing;/additional-directing/james-m-halty/;51869;The Wizard
Lindsley Parsons Jr.;executive-producer;/executive-producer/lindsley-parsons-jr/;51869;The Wizard
Chris Morley;lighting;/lighting/chris-morley-2/;51869;The Wizard
Frank Byers;camera-operator;/camera-operator/frank-byers/;51869;The Wizard
Richard Osborn Jr.;additional-photography;/additional-photography/richard-osborn-jr/;51869;The Wizard
Michael L. Mayer;production-design;/production-design/michael-l-mayer/;51869;The Wizard
Robert Sissman;art-direction;/art-direction/robert-sissman/;51869;The Wizard
Quinn Monahan;set-decoration;/set-decoration/quinn-monahan/;51869;The Wizard
Ted Baumgart;set-decoration;/set-decoration/ted-baumgart/;51869;The Wizard
Robert Strohmaier;set-decoration;/set-decoration/robert-strohmaier/;51869;The Wizard
Bernard Vyzga;set-decoration;/set-decoration/bernard-vyzga/;51869;The Wizard
Claire Jenora Bowin;set-decoration;/set-decoration/claire-jenora-bowin/;51869;The Wizard
Eddie Surkin;special-effects;/special-effects/eddie-surkin/;51869;The Wizard
Sandy Berumen;stunts;/stunts/sandy-berumen/;51869;The Wizard
Clay Boss;stunts;/stunts/clay-boss/;51869;The Wizard
Janet Brady;stunts;/stunts/janet-brady/;51869;The Wizard
Jophery C. Brown;stunts;/stunts/jophery-c-brown/;51869;The Wizard
Gilbert B. Combs;stunts;/stunts/gilbert-b-combs/;51869;The Wizard
James M. Halty;stunts;/stunts/james-m-halty/;51869;The Wizard
Jim Connors;stunts;/stunts/jim-connors/;51869;The Wizard
Steve Cremin;stunts;/stunts/steve-cremin/;51869;The Wizard
Kerrie Cullen;stunts;/stunts/kerrie-cullen/;51869;The Wizard
