value;film_id;film_title
Adventure;51869;The Wizard
Family;51869;The Wizard
Drama;51869;The Wizard
Comedy;51869;The Wizard
Underdogs and coming of age;51869;The Wizard
Emotional and heartfelt family dramas;51869;The Wizard
Teen friendship and coming-of-age;51869;The Wizard
Kids' animated fun and adventure;51869;The Wizard
Adventure;565852;The Northman
Action;565852;The Northman
Fantasy;565852;The Northman
Epic history and literature;565852;The Northman
Epic heroes;565852;The Northman
Humanity and the world around us;565852;The Northman
Fantasy adventure, heroism, and swordplay;565852;The Northman
Captivating vision and Shakespearean drama;565852;The Northman
Historical battles and epic heroism;565852;The Northman
Epic adventure and breathtaking battles;565852;The Northman
Bloody vampire horror;565852;The Northman
Drama;43552;Rad
Family;43552;Rad
Underdogs and coming of age;43552;Rad
Adrenaline-fueled action and fast cars;43552;Rad
Horror;353117;Get Out
Mystery;353117;Get Out
Thriller;353117;Get Out
Horror, the undead and monster classics;353117;Get Out
Intense violence and sexual transgression;353117;Get Out
Twisted dark psychological thriller;353117;Get Out
Terrifying, haunted, and supernatural horror;353117;Get Out
Creepy, chilling, and terrifying horror;353117;Get Out
Gory, gruesome, and slasher horror;353117;Get Out
Racism and the powerful fight for justice;353117;Get Out
Adventure;508037;RRR
Action;508037;RRR
Drama;508037;RRR
Epic heroes;508037;RRR
Bollywood emotional dramas;508037;RRR
Historical battles and epic heroism;508037;RRR
Superheroes in action-packed battles with villains;508037;RRR
Epic adventure and breathtaking battles;508037;RRR
Emotional and captivating fantasy storytelling;508037;RRR
Action;48018;Speed Racer
Family;48018;Speed Racer
Adventure;48018;Speed Racer
Comedy;48018;Speed Racer
Epic heroes;48018;Speed Racer
High speed and special ops;48018;Speed Racer
Adrenaline-fueled action and fast cars;48018;Speed Racer
Superheroes in action-packed battles with villains;48018;Speed Racer
Explosive and action-packed heroes vs. villains;48018;Speed Racer
Thriller;47798;They Live
Action;47798;They Live
Science Fiction;47798;They Live
Monsters, aliens, sci-fi and the apocalypse;47798;They Live
Thought-provoking sci-fi action and future technology;47798;They Live
Action-packed space and alien sagas;47798;They Live
Superheroes in action-packed battles with villains;47798;They Live
Imaginative space odysseys and alien encounters;47798;They Live
Explosive and action-packed heroes vs. villains;47798;They Live
Action;46759;Cobra
Thriller;46759;Cobra
Crime;46759;Cobra
Crime, drugs and gangsters;46759;Cobra
High speed and special ops;46759;Cobra
Epic heroes;46759;Cobra
Thrillers and murder mysteries;46759;Cobra
Violent action, guns, and crime;46759;Cobra
Adrenaline-fueled action and fast cars;46759;Cobra
Explosive and action-packed heroes vs. villains;46759;Cobra
Gritty crime and ruthless gangsters;46759;Cobra
Heists and thrilling action;46759;Cobra
Science Fiction;474474;Everything Everywhere All at Once
Adventure;474474;Everything Everywhere All at Once
Comedy;474474;Everything Everywhere All at Once
Action;474474;Everything Everywhere All at Once
Humanity and the world around us;474474;Everything Everywhere All at Once
Moving relationship stories;474474;Everything Everywhere All at Once
Crude humor and satire;474474;Everything Everywhere All at Once
Epic heroes;474474;Everything Everywhere All at Once
Heartfelt and sentimental family stories;474474;Everything Everywhere All at Once
Powerful stories of heartbreak and suffering;474474;Everything Everywhere All at Once
Surreal and thought-provoking visions of life and death;474474;Everything Everywhere All at Once
Quirky and endearing relationships;474474;Everything Everywhere All at Once
Dreamlike, quirky, and surreal storytelling;474474;Everything Everywhere All at Once
Action;51554;The Mummy
Adventure;51554;The Mummy
Fantasy;51554;The Mummy
Horror, the undead and monster classics;51554;The Mummy
Epic heroes;51554;The Mummy
Crude humor and satire;51554;The Mummy
Epic history and literature;51554;The Mummy
Relationship comedy;51554;The Mummy
Superheroes in action-packed battles with villains;51554;The Mummy
Fantasy adventure, heroism, and swordplay;51554;The Mummy
Creepy, chilling, and terrifying horror;51554;The Mummy
Action comedy and silly heroics;51554;The Mummy
Spooky, scary comedy;51554;The Mummy
Crime;574385;The Unbearable Weight of Massive Talent
Action;574385;The Unbearable Weight of Massive Talent
Comedy;574385;The Unbearable Weight of Massive Talent
Crude humor and satire;574385;The Unbearable Weight of Massive Talent
Relationship comedy;574385;The Unbearable Weight of Massive Talent
High speed and special ops;574385;The Unbearable Weight of Massive Talent
Gags, jokes, and slapstick humor;574385;The Unbearable Weight of Massive Talent
Action comedy and silly heroics;574385;The Unbearable Weight of Massive Talent
Laugh-out-loud relationship entanglements;574385;The Unbearable Weight of Massive Talent
Funny jokes and crude humor;574385;The Unbearable Weight of Massive Talent
Amusing jokes and witty satire;574385;The Unbearable Weight of Massive Talent
Western;2685;Unforgiven
Westerns;2685;Unforgiven
Wild west outlaws and gunfights;2685;Unforgiven
Western frontier dramas with a touch of humor;2685;Unforgiven
Violent action, guns, and crime;2685;Unforgiven
Violent crime and drugs;2685;Unforgiven
Brutal, violent prison drama;2685;Unforgiven
Thriller;51986;Twelve Monkeys
Mystery;51986;Twelve Monkeys
Science Fiction;51986;Twelve Monkeys
Monsters, aliens, sci-fi and the apocalypse;51986;Twelve Monkeys
Intense violence and sexual transgression;51986;Twelve Monkeys
Dreamlike, quirky, and surreal storytelling;51986;Twelve Monkeys
