film_id;film_title;key;value;link
1261720;This Is the Zodiac Speaking;studio;AMPLE Entertainment;letterboxd.com/studio/ample/
1261720;This Is the Zodiac Speaking;country;USA;letterboxd.com/films/country/usa/
1261720;This Is the Zodiac Speaking;language;English;letterboxd.com/films/language/english/
852317;Endurance;studio;Little Dot Studios;letterboxd.com/studio/little-dot-studios/
852317;Endurance;studio;Little Monster Films;letterboxd.com/studio/little-monster-films/
852317;Endurance;studio;History Hit;letterboxd.com/studio/history-hit/
852317;Endurance;studio;Consequential;letterboxd.com/studio/consequential/
852317;Endurance;country;UK;letterboxd.com/films/country/uk/
852317;Endurance;country;USA;letterboxd.com/films/country/usa/
852317;Endurance;language;English;letterboxd.com/films/language/english/
1243715;An Invisible Victim: The Eliza Samudio Case;studio;Boutique Filmes;letterboxd.com/studio/boutique-filmes/
1243715;An Invisible Victim: The Eliza Samudio Case;country;Brazil;letterboxd.com/films/country/brazil/
1243715;An Invisible Victim: The Eliza Samudio Case;language;Portuguese;letterboxd.com/films/language/portuguese/
901671;I’m Still Here;studio;VideoFilmes;letterboxd.com/studio/videofilmes/
901671;I’m Still Here;studio;MACT Productions;letterboxd.com/studio/mact-productions/
901671;I’m Still Here;studio;RT Features;letterboxd.com/studio/rt-features/
901671;I’m Still Here;studio;ARTE France Cinéma;letterboxd.com/studio/arte-france-cinema-5/
901671;I’m Still Here;studio;Conspiração Filmes;letterboxd.com/studio/conspiracao-filmes/
901671;I’m Still Here;studio;Original Globoplay;letterboxd.com/studio/original-globoplay/
901671;I’m Still Here;country;Brazil;letterboxd.com/films/country/brazil/
901671;I’m Still Here;country;France;letterboxd.com/films/country/france/
901671;I’m Still Here;language;Portuguese;letterboxd.com/films/language/portuguese/
571791;Rebel Ridge;studio;filmscience;letterboxd.com/studio/filmscience/
571791;Rebel Ridge;studio;Bonneville Pictures;letterboxd.com/studio/bonneville-pictures/
571791;Rebel Ridge;country;USA;letterboxd.com/films/country/usa/
571791;Rebel Ridge;language;English;letterboxd.com/films/language/english/
972267;It Ends with Us;studio;Columbia Pictures;letterboxd.com/studio/columbia-pictures/
972267;It Ends with Us;studio;Wayfarer Studios;letterboxd.com/studio/wayfarer-studios/
