name;link;character_name;film_id;film_title
Luke Edwards;/actor/luke-edwards/;Jimmy;51869;The Wizard
Vince Trankina;/actor/vince-trankina/;Tate;51869;The Wizard
Wendy Phillips;/actor/wendy-phillips/;Christine;51869;The Wizard
Dea McAllister;/actor/dea-mcallister/;Counselor;51869;The Wizard
Sam McMurray;/actor/sam-mcmurray/;Bateman;51869;The Wizard
Beau Bridges;/actor/beau-bridges/;Sam;51869;The Wizard
Fred Savage;/actor/fred-savage/;Corey;51869;The Wizard
Christian Slater;/actor/christian-slater/;Nick;51869;The Wizard
Will Seltzer;/actor/will-seltzer/;Putnam;51869;The Wizard
Roy Conrad;/actor/roy-conrad/;Bus Clerk;51869;The Wizard
Jenny Lewis;/actor/jenny-lewis/;Haley;51869;The Wizard
Roderick Dexter;/actor/roderick-dexter/;Trucker #1 / Wrecking Yard Man;51869;The Wizard
Ray Bickel;/actor/ray-bickel/;Trucker #2;51869;The Wizard
Chuck Skinner;/actor/chuck-skinner/;Grease Monkey;51869;The Wizard
W.K. Cowan;/actor/wk-cowan/;Salesman #1;51869;The Wizard
William C. Thompson;/actor/william-c-thompson-1/;Salesman #2;51869;The Wizard
Sonny Dukes;/actor/sonny-dukes/;Biker;51869;The Wizard
T. Dan Hopkins;/actor/t-dan-hopkins/;Old Navajo;51869;The Wizard
Jason Oliver Lipsett;/actor/jason-oliver-lipsett/;Tough Teen #1;51869;The Wizard
Rowden Metzger;/actor/rowden-metzger/;Tough Teen #2;51869;The Wizard
Preston Lee;/actor/preston-lee-1/;Tough Teen #3;51869;The Wizard
Beth Grant;/actor/beth-grant/;Diner Manager;51869;The Wizard
Gregor Hesse;/actor/gregor-hesse/;Younger Boy;51869;The Wizard
Jackey Vinson;/actor/jackey-vinson/;Lucas;51869;The Wizard
Tom Kerley;/actor/tom-kerley/;Pinball Teen;51869;The Wizard
Frank McRae;/actor/frank-mcrae/;Spanky;51869;The Wizard
Gene Skillen;/actor/gene-skillen/;Stickman;51869;The Wizard
Blair Anthony;/actor/blair-anthony/;Hotel Security;51869;The Wizard
Thomas Stanczyk;/actor/thomas-stanczyk/;Rick the Video Counselor;51869;The Wizard
Jacqueline Lear;/actor/jacqueline-lear/;Bubblegum Girl;51869;The Wizard
Valana C. Hatter;/actor/valana-c-hatter/;Diner Waitress;51869;The Wizard
Terri Lynn Neish;/actor/terri-lynn-neish/;Poolside Waitress;51869;The Wizard
Lee Arenberg;/actor/lee-arenberg/;Armageddon Registrar;51869;The Wizard
Steven Grives;/actor/steven-grives/;Armageddon Announcer;51869;The Wizard
Marisa DeSimone;/actor/marisa-desimone/;Mora Grissom;51869;The Wizard
Zed Frizzelle;/actor/zed-frizzelle/;Lucas' Buddy;51869;The Wizard
Jim Pirri;/actor/jim-pirri/;Studio Tour Guide;51869;The Wizard
David D'Ovidio;/actor/david-dovidio/;Armageddon Official;51869;The Wizard
Neo Edmund;/actor/neo-edmund/;Max (uncredited);51869;The Wizard
Candace Hill;/actor/candace-hill/;Gamer (uncredited);51869;The Wizard
Tobey Maguire;/actor/tobey-maguire/;Lucas' Goon at Video Armageddon (uncredited);51869;The Wizard
Alexander Skarsgård;/actor/alexander-skarsgard/;Amleth;565852;The Northman
Nicole Kidman;/actor/nicole-kidman/;Queen Gudrún;565852;The Northman
Claes Bang;/actor/claes-bang/;Fjölnir the Brotherless;565852;The Northman
Ethan Hawke;/actor/ethan-hawke/;King Aurvandil War-Raven;565852;The Northman
Anya Taylor-Joy;/actor/anya-taylor-joy/;Olga of the Birch Forest;565852;The Northman
Gustav Lindh;/actor/gustav-lindh/;Thórir the Proud;565852;The Northman
Elliott Rose;/actor/elliott-rose/;Gunnar;565852;The Northman
Willem Dafoe;/actor/willem-dafoe/;Heimir the Fool;565852;The Northman
Phill Martin;/actor/phill-martin/;Hallgrímr Half-Troll;565852;The Northman
Eldar Skar;/actor/eldar-skar/;Finnr the Nose-Stub;565852;The Northman
Olwen Fouéré;/actor/olwen-fouere/;Áshildur Hofgythja;565852;The Northman
Edgar Abram;/actor/edgar-abram/;Hersveinn Battle-Hard;565852;The Northman
Jack Gassmann;/actor/jack-gassmann/;Hjalti Battle Hasty;565852;The Northman
Ingvar E. Sigurðsson;/actor/ingvar-e-sigursson/;He-Witch;565852;The Northman
Oscar Novak;/actor/oscar-novak/;Young Amleth;565852;The Northman
Jack Walsh;/actor/jack-walsh-8/;Hallur Freymundur;565852;The Northman
Björk;/actor/bjork/;Seeress;565852;The Northman
Ian Whyte;/actor/ian-whyte/;The Mound Dweller;565852;The Northman
Katie Pattinson;/actor/katie-pattinson/;Shield Maiden;565852;The Northman
Andrea O’Neill;/actor/andrea-oneill/;Helga the Nanny;565852;The Northman
Rebecca Ineson;/actor/rebecca-ineson/;Halla the Maiden;565852;The Northman
Kate Dickie;/actor/kate-dickie/;Halldóra the Pict;565852;The Northman
Ísadóra Bjarkardóttir Barney;/actor/isadora-bjarkardottir-barney/;Melkorka;565852;The Northman
Kevin Horsham;/actor/kevin-horsham/;Völundur the Smith;565852;The Northman
Seamus O'Hara;/actor/seamus-ohara/;Audunn the Irish;565852;The Northman
Scott Sinclair;/actor/scott-sinclair-1/;Grímr Skull-Hammer;565852;The Northman
Tadhg Murphy;/actor/tadhg-murphy/;Eiríkr Blaze-Eye;565852;The Northman
