film_id;film_title;name;role;link
51869;The Wizard;Todd Holland;director;letterboxd.com/director/todd-holland-1/
51869;The Wizard;David Chisholm;producer;letterboxd.com/producer/david-chisholm/
51869;The Wizard;Ken Topolsky;producer;letterboxd.com/producer/ken-topolsky/
51869;The Wizard;Daniel Schneider;producer;letterboxd.com/producer/daniel-schneider/
51869;The Wizard;David Chisholm;writer;letterboxd.com/writer/david-chisholm/
51869;The Wizard;Mali Finn;casting;letterboxd.com/casting/mali-finn/
51869;The Wizard;Tom Finan;editor;letterboxd.com/editor/tom-finan/
51869;The Wizard;Robert D. Yeoman;cinematography;letterboxd.com/cinematography/robert-d-yeoman/
51869;The Wizard;Jerry Ketcham;assistant-director;letterboxd.com/assistant-director/jerry-ketcham/
51869;The Wizard;David D'Ovidio;assistant-director;letterboxd.com/assistant-director/david-dovidio/
51869;The Wizard;James M. Halty;additional-directing;letterboxd.com/additional-directing/james-m-halty/
51869;The Wizard;Lindsley Parsons Jr.;executive-producer;letterboxd.com/executive-producer/lindsley-parsons-jr/
51869;The Wizard;Chris Morley;lighting;letterboxd.com/lighting/chris-morley-2/
51869;The Wizard;Frank Byers;camera-operator;letterboxd.com/camera-operator/frank-byers/
51869;The Wizard;Richard Osborn Jr.;additional-photography;letterboxd.com/additional-photography/richard-osborn-jr/
51869;The Wizard;Michael L. Mayer;production-design;letterboxd.com/production-design/michael-l-mayer/
51869;The Wizard;Robert Sissman;art-direction;letterboxd.com/art-direction/robert-sissman/
51869;The Wizard;Quinn Monahan;set-decoration;letterboxd.com/set-decoration/quinn-monahan/
51869;The Wizard;Ted Baumgart;set-decoration;letterboxd.com/set-decoration/ted-baumgart/
51869;The Wizard;Robert Strohmaier;set-decoration;letterboxd.com/set-decoration/robert-strohmaier/
51869;The Wizard;Bernard Vyzga;set-decoration;letterboxd.com/set-decoration/bernard-vyzga/
51869;The Wizard;Claire Jenora Bowin;set-decoration;letterboxd.com/set-decoration/claire-jenora-bowin/
51869;The Wizard;Eddie Surkin;special-effects;letterboxd.com/special-effects/eddie-surkin/
51869;The Wizard;Sandy Berumen;stunts;letterboxd.com/stunts/sandy-berumen/
51869;The Wizard;Clay Boss;stunts;letterboxd.com/stunts/clay-boss/
51869;The Wizard;Janet Brady;stunts;letterboxd.com/stunts/janet-brady/
51869;The Wizard;Jophery C. Brown;stunts;letterboxd.com/stunts/jophery-c-brown/
51869;The Wizard;Gilbert B. Combs;stunts;letterboxd.com/stunts/gilbert-b-combs/
51869;The Wizard;James M. Halty;stunts;letterboxd.com/stunts/james-m-halty/
51869;The Wizard;Jim Connors;stunts;letterboxd.com/stunts/jim-connors/
51869;The Wizard;Steve Cremin;stunts;letterboxd.com/stunts/steve-cremin/
51869;The Wizard;Kerrie Cullen;stunts;letterboxd.com/stunts/kerrie-cullen/
51869;The Wizard;Jeffrey J. Dashnaw;stunts;letterboxd.com/stunts/jeffrey-j-dashnaw/
51869;The Wizard;Steve M. Davison;stunts;letterboxd.com/stunts/steve-m-davison/
51869;The Wizard;Andree Gibbs;stunts;letterboxd.com/stunts/andree-gibbs/
51869;The Wizard;Billy Hank Hooker;stunts;letterboxd.com/stunts/billy-hank-hooker/
51869;The Wizard;Tommy J. Huff;stunts;letterboxd.com/stunts/tommy-j-huff/
51869;The Wizard;Joyce Kurtz;stunts;letterboxd.com/stunts/joyce-kurtz/
51869;The Wizard;Daryle Ann Lindley;stunts;letterboxd.com/stunts/daryle-ann-lindley/
51869;The Wizard;Virginia Loridans;stunts;letterboxd.com/stunts/virginia-loridans/
51869;The Wizard;John C. Meier;stunts;letterboxd.com/stunts/john-meier/
51869;The Wizard;Paula Moody;stunts;letterboxd.com/stunts/paula-moody/
51869;The Wizard;Larry Nicholas;stunts;letterboxd.com/stunts/larry-nicholas/
51869;The Wizard;Steve Picerni;stunts;letterboxd.com/stunts/steve-picerni/
51869;The Wizard;Bobby Porter;stunts;letterboxd.com/stunts/bobby-porter/
51869;The Wizard;George A. Sack Jr.;stunts;letterboxd.com/stunts/george-a-sack-jr/
51869;The Wizard;Mitch Stein;stunts;letterboxd.com/stunts/mitch-stein-1/
51869;The Wizard;J. Peter Robinson;composer;letterboxd.com/composer/j-peter-robinson/
51869;The Wizard;Robert Glass;sound;letterboxd.com/sound/robert-glass-1/
