key;value;link;film_id;film_title
studio;Universal Pictures;/studio/universal-pictures/;51869;The Wizard
studio;Finnegan/Pinchuk Productions;/studio/finnegan-pinchuk-productions/;51869;The Wizard
country;USA;/films/country/usa/;51869;The Wizard
language;English;/films/language/english/;51869;The Wizard
language;English;/films/language/english/;51869;The Wizard
language;Italian;/films/language/italian/;51869;The Wizard
studio;Regency Enterprises;/studio/regency-enterprises/;565852;The Northman
studio;New Regency Pictures;/studio/new-regency-pictures/;565852;The Northman
studio;Square Peg;/studio/square-peg/;565852;The Northman
studio;Focus Features;/studio/focus-features/;565852;The Northman
country;USA;/films/country/usa/;565852;The Northman
language;English;/films/language/english/;565852;The Northman
language;English;/films/language/english/;565852;The Northman
language;Icelandic;/films/language/icelandic/;565852;The Northman
studio;TaliaFilm II Productions;/studio/taliafilm-ii-productions/;43552;Rad
country;USA;/films/country/usa/;43552;Rad
language;English;/films/language/english/;43552;Rad
studio;Monkeypaw Productions;/studio/monkeypaw-productions/;353117;Get Out
studio;Blumhouse Productions;/studio/blumhouse-productions/;353117;Get Out
studio;QC Entertainment;/studio/qc-entertainment/;353117;Get Out
country;USA;/films/country/usa/;353117;Get Out
language;English;/films/language/english/;353117;Get Out
studio;DVV Entertainment;/studio/dvv-entertainment/;508037;RRR
country;India;/films/country/india/;508037;RRR
language;Telugu;/films/language/telugu/;508037;RRR
language;English;/films/language/english/;508037;RRR
language;Telugu;/films/language/telugu/;508037;RRR
studio;Warner Bros. Pictures;/studio/warner-bros-pictures/;48018;Speed Racer
studio;Village Roadshow Pictures;/studio/village-roadshow-pictures/;48018;Speed Racer
studio;Silver Pictures;/studio/silver-pictures/;48018;Speed Racer
studio;Anarchos Productions;/studio/anarchos-productions/;48018;Speed Racer
country;USA;/films/country/usa/;48018;Speed Racer
language;English;/films/language/english/;48018;Speed Racer
language;English;/films/language/english/;48018;Speed Racer
language;Japanese;/films/language/japanese/;48018;Speed Racer
studio;Alive Films;/studio/alive-films/;47798;They Live
studio;Larry Franco Productions;/studio/larry-franco-productions/;47798;They Live
country;USA;/films/country/usa/;47798;They Live
language;English;/films/language/english/;47798;They Live
studio;The Cannon Group;/studio/cannon-group/;46759;Cobra
studio;Warner Bros. Pictures;/studio/warner-bros-pictures/;46759;Cobra
studio;Golan-Globus Productions;/studio/golan-globus-productions/;46759;Cobra
country;USA;/films/country/usa/;46759;Cobra
language;English;/films/language/english/;46759;Cobra
studio;IAC Films;/studio/iac-films/;474474;Everything Everywhere All at Once
studio;AGBO;/studio/agbo/;474474;Everything Everywhere All at Once
studio;Ley Line Entertainment;/studio/ley-line-entertainment/;474474;Everything Everywhere All at Once
studio;Year of the Rat;/studio/year-of-the-rat-productions/;474474;Everything Everywhere All at Once
