letterboxd_id;letterboxd_shorttitle;letterboxd_longtitle;letterboxd_slug;letterboxd_url;imdb_url;tmdb_url;tmdb_id;release_year;duration;avg_rating
51869;The Wizard;The Wizard (1989);the-wizard;https://letterboxd.com/film/the-wizard/;http://www.imdb.com/title/tt0098663/maindetails;https://www.themoviedb.org/movie/183;183;1989;100;2.94
565852;The Northman;The Northman (2022);the-northman;https://letterboxd.com/film/the-northman/;http://www.imdb.com/title/tt11138512/maindetails;https://www.themoviedb.org/movie/639933;639933;2022;137;3.77
43552;Rad;Rad (1986);rad;https://letterboxd.com/film/rad/;http://www.imdb.com/title/tt0091817/maindetails;https://www.themoviedb.org/movie/13841;13841;1986;93;3.25
353117;Get Out;Get Out (2017);get-out-2017;https://letterboxd.com/film/get-out-2017/;http://www.imdb.com/title/tt5052448/maindetails;https://www.themoviedb.org/movie/419430;419430;2017;104;4.14
508037;RRR;RRR (2022);rrr;https://letterboxd.com/film/rrr/;http://www.imdb.com/title/tt8178634/maindetails;https://www.themoviedb.org/movie/579974;579974;2022;185;4.20
48018;Speed Racer;Speed Racer (2008);speed-racer;https://letterboxd.com/film/speed-racer/;http://www.imdb.com/title/tt0811080/maindetails;https://www.themoviedb.org/movie/7459;7459;2008;135;3.52
47798;They Live;They Live (1988);they-live;https://letterboxd.com/film/they-live/;http://www.imdb.com/title/tt0096256/maindetails;https://www.themoviedb.org/movie/8337;8337;1988;93;3.76
46759;Cobra;Cobra (1986);cobra-1986;https://letterboxd.com/film/cobra-1986/;http://www.imdb.com/title/tt0090859/maindetails;https://www.themoviedb.org/movie/9874;9874;1986;87;3.00
474474;Everything Everywhere All at Once;Everything Everywhere All at Once (2022);everything-everywhere-all-at-once;https://letterboxd.com/film/everything-everywhere-all-at-once/;http://www.imdb.com/title/tt6710474/maindetails;https://www.themoviedb.org/movie/545611;545611;2022;140;4.25
51554;The Mummy;The Mummy (1999);the-mummy-1999;https://letterboxd.com/film/the-mummy-1999/;http://www.imdb.com/title/tt0120616/maindetails;https://www.themoviedb.org/movie/564;564;1999;124;3.59
