letterboxd_id;letterboxd_shorttitle;letterboxd_longtitle;letterboxd_slug;tmdb_id;release_year;duration;avg_rating;letterboxd_url;tmdb_url;imdb_url
1261720;This Is the Zodiac Speaking;This Is the Zodiac Speaking (2024);this-is-the-zodiac-speaking-2024;272299;2024;-1;3.56;https://letterboxd.com/film/this-is-the-zodiac-speaking-2024/;https://www.themoviedb.org/tv/272299/;http://www.imdb.com/title/tt33480540/maindetails
852317;Endurance;Endurance (2024);endurance-2024;947763;2024;103;3.55;https://letterboxd.com/film/endurance-2024/;https://www.themoviedb.org/movie/947763/;http://www.imdb.com/title/tt18556278/maindetails
1243715;An Invisible Victim: The Eliza Samudio Case;An Invisible Victim: The Eliza Samudio Case (2024);an-invisible-victim-the-eliza-samudio-case;1354503;2024;101;3.37;https://letterboxd.com/film/an-invisible-victim-the-eliza-samudio-case/;https://www.themoviedb.org/movie/1354503/;http://www.imdb.com/title/tt33355991/maindetails
901671;I'm Still Here;I'm Still Here (2024);im-still-here-2024-1;1000837;2024;137;4.34;https://letterboxd.com/film/im-still-here-2024-1/;https://www.themoviedb.org/movie/1000837/;http://www.imdb.com/title/tt14961016/maindetails
571791;Rebel Ridge;Rebel Ridge (2024);rebel-ridge;646097;2024;132;3.46;https://letterboxd.com/film/rebel-ridge/;https://www.themoviedb.org/movie/646097/;http://www.imdb.com/title/tt11301886/maindetails
972267;It Ends with Us;It Ends with Us (2024);it-ends-with-us;1079091;2024;131;2.56;https://letterboxd.com/film/it-ends-with-us/;https://www.themoviedb.org/movie/1079091/;http://www.imdb.com/title/tt10655524/maindetails
682535;A Quiet Place: Day One;A Quiet Place: Day One (2024);a-quiet-place-day-one;762441;2024;99;3.19;https://letterboxd.com/film/a-quiet-place-day-one/;https://www.themoviedb.org/movie/762441/;http://www.imdb.com/title/tt13433802/maindetails
922858;MaXXXine;MaXXXine (2024);maxxxine;1023922;2024;104;3.1;https://letterboxd.com/film/maxxxine/;https://www.themoviedb.org/movie/1023922/;http://www.imdb.com/title/tt22048412/maindetails
902058;Under Paris;Under Paris (2024);under-paris;1001311;2024;104;2.14;https://letterboxd.com/film/under-paris/;https://www.themoviedb.org/movie/1001311/;http://www.imdb.com/title/tt13964390/maindetails
985667;Mother of the Bride;Mother of the Bride (2024);mother-of-the-bride-2024;1093231;2024;90;1.63;https://letterboxd.com/film/mother-of-the-bride-2024/;https://www.themoviedb.org/movie/1093231/;http://www.imdb.com/title/tt26926267/maindetails
705221;Furiosa: A Mad Max Saga;Furiosa: A Mad Max Saga (2024);furiosa-a-mad-max-saga;786892;2024;149;3.83;https://letterboxd.com/film/furiosa-a-mad-max-saga/;https://www.themoviedb.org/movie/786892/;http://www.imdb.com/title/tt12037194/maindetails
834656;Civil War;Civil War (2024);civil-war-2024;929590;2024;109;3.59;https://letterboxd.com/film/civil-war-2024/;https://www.themoviedb.org/movie/929590/;http://www.imdb.com/title/tt17279496/maindetails
488751;Monkey Man;Monkey Man (2024);monkey-man;560016;2024;121;3.73;https://letterboxd.com/film/monkey-man/;https://www.themoviedb.org/movie/560016/;http://www.imdb.com/title/tt9214772/maindetails
911187;Kung Fu Panda 4;Kung Fu Panda 4 (2024);kung-fu-panda-4;1011985;2024;94;2.7;https://letterboxd.com/film/kung-fu-panda-4/;https://www.themoviedb.org/movie/1011985/;http://www.imdb.com/title/tt21692408/maindetails
872755;Land of Bad;Land of Bad (2024);land-of-bad;969492;2024;113;3.04;https://letterboxd.com/film/land-of-bad/;https://www.themoviedb.org/movie/969492/;http://www.imdb.com/title/tt19864802/maindetails
617443;Dune: Part Two;Dune: Part Two (2024);dune-part-two;693134;2024;167;4.43;https://letterboxd.com/film/dune-part-two/;https://www.themoviedb.org/movie/693134/;http://www.imdb.com/title/tt15239678/maindetails
988316;No Way Up;No Way Up (2024);no-way-up;1096197;2024;90;1.86;https://letterboxd.com/film/no-way-up/;https://www.themoviedb.org/movie/1096197/;http://www.imdb.com/title/tt16253418/maindetails
